COD. Nazionale,Codice Strada Comune,Toponimo
134,641,BORGO DI SANTA MARIA IN PORTIOLO
36,118,CORTE DEI CILIEGI
37,453,CORTE DELLE QUERCE
49,472,GALLERIA DELLA ROCCA
5,362,PIAZZA ALDO MORO
88,225,PIAZZA GIUSEPPE GARIBALDI
159,283,PIAZZETTA DEGLI INCONTRI
40,645,PIAZZETTA DEI LILLA'
116,440,STRADA PROVINCIALE 3 NORD
141,450,STRADA PROVINCIALE 3 SUD
160,665,VIA  LICINIO TEDESCHI
110,170,VIA  LUIGI EINAUDI
2,260,VIA ACHILLE GRANDI
4,155,VIA ALCIDE DE GASPERI
6,335,VIA ALESSANDRO MANZONI
7,640,VIA ALESSANDRO VOLTA
8,100,VIA ALLA CHIESA DI PIEVE ROSSA
32,105,VIA ALLA CHIESA VECCHIA DI SAN TOMASO
9,510,VIA ALLE ROTTE
10,O20,VIA ALTA
11,135,VIA ANDREA COSTA
12,535,VIA ANGELO SECCHI
13,205,VIA ANNA FRANK
14,O15,VIA ANTONIO ALLEGRI
3,185,VIA ANTONIO FONTANESI
15,275,VIA ANTONIO GRAMSCI
16,290,VIA ANTONIO LABRIOLA
17,350,VIA ANTONIO MEUCCI
18,390,VIA ANTONIO PACINOTTI
19,392,VIA ANTONIO PANIZZI
20,615,VIA ANTONIO VALLISNERI
1,O75,VIA ARISTIDE CARBONI
21,558,VIA ARNALDO STORCHI
22,470,VIA AUGUSTO RIGHI
23,O35,VIA BASSA
24,138,VIA BENEDETTO CROCE
25,O40,VIA BEVIERA
26,O55,VIA BONDENO
27,O65,VIA BRUNO BUOZZI
165,710,VIA CADUTI DEL LAVORO
28,O95,VIA CAMILLO BENSO DI CAVOUR
29,430,VIA CAMILLO PRAMPOLINI
30,O70,VIA CANALAZZO
162,685,VIA CARLO FORMENTINI
31,O90,VIA CASALETTO
33,110,VIA CHIESA VEZZOLA
34,120,VIA CONFORTINO DI SAN MICHELE
35,130,VIA CONSORZIALE
39,OO5,VIA DANTE ALIGHIERI
41,415,VIA DEI PINI
42,425,VIA DEI PLATANI
43,518,VIA DEI SALICI
44,595,VIA DEI TIGLI
46,670,VIA DEL TRICOLORE
163,695,VIA DELLA COOPERAZIONE
47,655,VIA DELLA PACE
48,465,VIA DELLA REPUBBLICA
50,495,VIA DELLE ROSE
51,375,VIA DELL'OLMO
55,360,VIA DON EDGARDO MONTAGNA
52,355,VIA DON GIOVANNI MINZONI
53,705,VIA DON GIUSEPPE BARBIERI
54,580,VIA DON LUIGI STURZO
56,60,VIA DON PASQUINO BORGHI
58,675,VIA EMILIO MATTIOLI
59,160,VIA ENRICO DE NICOLA
60,180,VIA ENRICO FERMI
61,140,VIA EUGENIO CURIEL
62,172,VIA EUROPA
63,602,VIA EVANGELISTA TORRICELLI
57,293,VIA EVRES LAZZARETTI
64,455,VIA FEDERICO RABITTI
167,715,VIA FERRANTE ROMANI
65,460,VIA FILIPPO RE
66,605,VIA FILIPPO TURATI
67,190,VIA FORMIGGINE
68,195,VIA FORNACI
69,410,VIA FRANCESCO PETRARCA
70,285,VIA FRANCO IOTTI
71,500,VIA FRANKLIN DELANO ROOSEWELT
72,145,VIA FRATELLI CERVI
73,238,VIA FRATELLI GIBERTONI
74,505,VIA FRATELLI ROSSELLI
75,115,VIA GAETANO CHIERICI
76,182,VIA GALILEO FERRARIS
77,210,VIA GALILEO GALILEI
94,550,VIA GASTONE SOZZI
80,300,VIA GIACOMO LEOPARDI
81,340,VIA GIACOMO MATTEOTTI
83,O80,VIA GIOSUE' CARDUCCI
78,O22,VIA GIOVANNI AMENDOLA
79,O62,VIA GIOVANNI BATTISTA BORRI
84,240,VIA GIOVANNI GIOLITTI
82,242,VIA GIOVANNI GIORGI
85,400,VIA GIOVANNI PASCOLI
86,405,VIA GIULIO PASTORE
87,165,VIA GIUSEPPE DI VITTORIO
89,250,VIA GIUSEPPE GIUSTI
90,345,VIA GIUSEPPE MAZZINI
91,395,VIA GIUSEPPE PARINI
92,625,VIA GIUSEPPE VERDI
93,255,VIA GONZAGA
95,325,VIA GUGLIELMO MARCONI
96,270,VIA GUIDO DA BAGNOLO
,,VIA ILARIA ALPI
161,680,VIA IMERIO TONDELLI
98,O45,VIA IVO BIGI
101,280,VIA JOHN FITZGERALD KENNEDY
164,700,VIA LA BADIA
102,650,VIA LA CORTE
104,295,VIA LAZZARI
105,555,VIA LAZZARO SPALLANZANI
106,385,VIA LELIO ORSI
107,150,VIA LEONARDO DA VINCI
108,370,VIA LEOPOLDO NOBILI
109,O30,VIA LUDOVICO ARIOSTO
111,215,VIA LUIGI GALVANI
,,VIA MARIA GRAZIA CUTULI
112,330,VIA MARTIRI DI BAGNOLO
113,O50,VIA MATTEO MARIA BOIARDO
114,220,VIA MOHANDAS KARAMCHAND GANDHI
117,547,VIA NATALE SIMONCINI
115,125,VIA NICCOLO' COPERNICO
118,374,VIA OLIMPIA
119,600,VIA PALMIRO TOGLIATTI
120,245,VIA PAPA GIOVANNI VENTITREESIMO
121,252,VIA PIERO GOBETTI
122,420,VIA PIOPPA
123,435,VIA PONTE FORCA
97,305,VIA PRIMO MAGGIO
124,315,VIA PRIMO MALAGUTI
152,175,VIA QUATTORDICI FEBBRAIO
100,365,VIA QUATTRO NOVEMBRE
125,475,VIA ROMA
126,515,VIA RONCHI
127,485,VIA RONCHI BEVIERA
128,480,VIA RONCHI DI PIEVE ROSSA
129,490,VIA RONCHI LEVI
131,452,VIA SALVATORE QUASIMODO
132,530,VIA SALVI
133,520,VIA SAN GIOVANNI BOSCO
135,525,VIA SANT'ANTONIO DA PADOVA
136,540,VIA SCAPPA
148,235,VIA SETTE GENNAIO
138,265,VIA SEVERINO GRISENDI
139,230,VIA SILLA GATTI
146,565,VIA STRADA VECCHIA
140,560,VIA STRADELLA DI SAN MICHELE
142,590,VIA TASSONE
166,660,VIA TORQUATO GOBBI
143,585,VIA TORQUATO TASSO
144,200,VIA UGO FOSCOLO
145,610,VIA VALLI
153,545,VIA VENTI SETTEMBRE
155,O25,VIA VENTICINQUE APRILE
154,310,VIA VENTIQUATTRO MAGGIO
147,217,VIA VERONICA GAMBARA
137,620,VIA VICO SECCO
149,635,VIA VIRGILIO
150,O10,VIA VITTORIO ALFIERI
151,380,VIA VITTORIO EMANUELE ORLANDO
45,348,VIOTTOLO DEL MEDICO
